registrationNumber,airline,model
1,Compagnie Africaine d\\'Aviation,C172
2,Black Stallion Airways,AT76
3,Aeromar,B737
4,Korongo Airlines,A388
5,Spicejet,E170
6,Atlantis European Airways,A319
7,Eritrean Airlines,AT76
8,BAL Bashkirian Airlines,CRJ9
9,Nihon.jet,B763
10,Air New Zealand,B772
11,Lombards Air,A321
12,XAIR USA,E170
13,Zenith International Airline,C172
14,Tiger Airways Australia,B772
15,Aerocondor,E190
16,Tandem Aero,AT75
17,Barents AirLink,B772
18,Royal Air Maroc,A320
19,Askari Aviation,A320
20,Regional Airlines,B739
21,Helvetic Airways,A332
22,Air Macau,A333
23,Our Airline,A332
24,West Air China,B738
25,Ostfriesische Lufttransport,A319
26,TROPICAL LINHAS AEREAS,A320
27,Zip,A388
28,Balkan Bulgarian Airlines,B739
29,Royal Tongan Airlines,B772
30,Lufthansa,B738
31,Jet Airways,B77W
32,Wizz Air,B739
33,NEPC Airlines,E190
34,Gestair,B752
35,Dagestan Airlines,B737
36,Carpatair,E190
37,Samurai Airlines,A319
38,Strategic Airlines,B763
39,Qantas,A321
40,Hemus Air,A320
41,Starbow Airlines,AT76
42,Star Flyer,B737
43,Scorpio Aviation,B772
44,Avirex,B739
45,Air Kiribati,B738
46,KSY,B752
47,Zabaykalskii Airlines,B737
48,Alliance Air,A321
49,Libyan Arab Airlines,B737
50,AirOnix,E170
51,Spring Airlines,B788
52,Amadeus Global Travel Distribution,B737
53,Flitestar,A388
54,All Asia,B738
55,SOCHI AIR EXPRESS,E190
56,Hawkair,A388
57,dba,B772
58,Korongo Airlines,A332
59,Airlines Of Tasmania,AT75
60,Xpressair,AT75
61,Phuket Air,E170
62,Rainbow Air Polynesia,C172
63,ADC Airlines,A332
64,Gazpromavia,B77L
65,Maryland Air,B77L
66,Maya Island Air,B788
67,Kingfisher Airlines,B77L
68,Air UK,A321
69,Air Rarotonga,B738
70,Tajik Air,A320
71,Swedline Express,B738
72,Liberty Airways,AT75
73,Guyana Airways 2000,A320
74,Rainbow Air US,B772
75,IndiGo Airlines,A320
76,Air Botswana,B788
77,Thalys,B788
78,PLUNA,B739
79,Georgian National Airlines,A319
80,Zz,B752
81,Continental Airways,B772
82,Samara Airlines,AT76
83,Air Sahara,A320
84,Illinois Airways,E170
85,Aegean Airlines,B738
86,Rainbow Air US,B772
87,Gomelavia,E190
88,Air Luxor GB,B772
89,JALways,C172
90,Gryphon Airlines,B739
91,Kam Air,C172
92,Air Italy,A333
93,Jet2.com,B788
94,KLM Royal Dutch Airlines,B739
95,Reno Air,A320
96,LSM Airlines,B788
97,Malév,B752
98,Air Salone,A333
99,L,CRJ9
100,Croatia Airlines,C172
101,First Choice Airways,B752
102,Strategic Airlines,C172
103,WestAir,A388
104,Tyrolean Airways,A319
105,Virgin Pacific,E190
106,Island Airlines,AT75
107,Jeju Air,B77W
108,Rossiya,B744
109,Philippine Airlines,B739
110,First Choice Airways,B788
111,Michael Airlines,B77L
112,Caribbean Wings,E170
113,Fly One,B788
114,Air Salone,B763
115,Uni Air,A332
116,Balkan Bulgarian Airlines,B77W
117,Ghana International Airlines,B77W
118,Southjet cargo,A388
119,Onur Air,C172
120,Midway Airlines,B772
121,Federal Express,E170
122,Sky Wing Pacific,C172
123,Palair Macedonia,B752
124,Forward Air International Airlines,B763
125,bmibaby,B788
126,Air Cargo Germany,B737
127,Aéris (Priv),A320
128,Cayman Airways,A388
129,Surinam Airways,A388
130,Tiger Airways Australia,B789
131,Viaggio Air,B77L
132,Harbor Airlines,B772
133,Itek Air,E190
