fid,arrivalTime,departureTime,destination,departure,registrationNumber
K61,2022-06-02 03:37:54,2022-06-01 17:37:54,Ernabella Airport,Mogador Airport,3568
ER2,2020-07-16 05:57:05,2020-07-15 10:57:05,Corrientes Airport,Cheboksary Airport,11192
KY3,2022-08-26 04:41:18,2022-08-25 13:41:18,Zamzama Heliport,Granite Mountain Air Station,25513
Q94,2020-11-15 00:33:38,2020-11-14 07:33:38,Moore County Airport,Orūzgān Airport,10428
XG5,2020-01-27 02:41:32,2020-01-26 15:41:32,Glen Innes Airport,Lawrenceville Vincennes International Airport,15572
TP6,2022-05-14 00:39:09,2022-05-13 01:39:09,Júlio de Castilho Airport,Bellingham International Airport,4849
K97,2023-03-20 18:22:07,2023-03-19 22:22:07,Sawan Airport,Beihai Airport,9189
C58,2023-01-06 09:33:09,2023-01-06 00:33:09,Virgil I Grissom Municipal Airport,Singapore Changi Airport,4922
EV9,2021-03-02 12:30:26,2021-03-02 09:30:26,Fulton County Airport Brown Field,Wokal Field Glasgow International Airport,25714
LH10,2023-10-10 15:59:42,2023-10-09 19:59:42,Nain Airport,Tep Tep Airport,3114
NI11,2023-04-27 02:41:52,2023-04-26 07:41:52,A P Hill AAF (Fort A P Hill) Airport,Tianshui Maijishan Airport,19425
BV12,2023-04-27 02:33:03,2023-04-26 21:33:03,McArthur River Mine Airport,Excursion Inlet Seaplane Base,20969
NV13,2020-04-22 16:54:14,2020-04-22 07:54:14,General Santos International Airport,Tabatinga Airport,20327
ZE14,2023-11-12 13:14:16,2023-11-12 08:14:16,Okha Airport,Ha'il Airport,4256
Q415,2023-02-17 07:29:06,2023-02-16 19:29:06,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Barcelonnette - Saint-Pons Airport,19664
C716,2020-10-29 23:50:44,2020-10-29 05:50:44,Sodankyla Airport,Colatina Airport,17449
G917,2022-04-16 15:36:20,2022-04-15 20:36:20,Northern Aroostook Regional Airport,Port Said Airport,9057
KQ18,2022-06-22 09:06:30,2022-06-22 09:06:30,Coromandel Aerodrome,Sei Bati Airport,26386
0E19,2020-05-08 22:14:53,2020-05-08 01:14:53,Marmul Airport,Kalibo International Airport,4421
NO20,2020-03-25 22:43:25,2020-03-25 21:43:25,Ouanda Djallé Airport,Bamfield Seaplane Base,20900
A721,2020-01-21 15:11:47,2020-01-21 12:11:47,Arnold Palmer Regional Airport,Port Hardy Airport,15453
V422,2020-03-24 15:10:20,2020-03-23 22:10:20,Port of Poulsbo Marina Moorage Seaplane Base,Cambridge Dorchester Airport,12864
2Z23,2021-03-01 10:00:12,2021-03-01 10:00:12,Stony Rapids Airport,Zvartnots International Airport,12024
QQ24,2022-10-02 22:04:50,2022-10-02 15:04:50,Vijayanagar Aerodrome (JSW),Cuatro Vientos Airport,13118
FU25,2020-10-10 23:56:57,2020-10-10 17:56:57,Makkovik Airport,Pureni Airport,2454
2S26,2021-12-03 02:07:19,2021-12-02 05:07:19,Ocean City Municipal Airport,Lauro Carneiro de Loyola Airport,19021
JB27,2023-08-14 13:24:39,2023-08-13 22:24:39,Tres De Mayo Airport,Yangambi Airport,14001
PT28,2021-08-18 15:50:25,2021-08-18 03:50:25,Jackson County Reynolds Field,Matsu Nangan Airport,2363
HB29,2020-06-15 20:20:37,2020-06-15 11:20:37,St Clair County International Airport,Bluefields Airport,8448
OE30,2021-03-25 17:50:51,2021-03-25 04:50:51,Mactan Cebu International Airport,Plovdiv International Airport,25489
FC31,2021-10-27 12:08:53,2021-10-26 13:08:53,Mataveri Airport,Guiria Airport,16601
DU32,2022-06-14 21:52:58,2022-06-14 08:52:58,Alama Iqbal International Airport,Porbandar Airport,2290
ZQ33,2023-04-10 22:18:34,2023-04-09 23:18:34,Donnelly Airport,Gulu Airport,19348
