fctype,fcid
Silver,659a7801-49fd-4559-b304-a242b4f467ce
Silver,650f3878-fef3-4e29-860b-0f357bc39781
Platinum,e19c78b7-b70b-4ffa-851d-38cdecfee4de
Explorer,c854b9eb-471b-410e-9432-2b83b3e5c7bc
Explorer,d870ba9d-5b32-45f5-b279-5522dcf79cc6
Platinum,c542a430-cc5f-423e-86ed-7d1584010b1a
Gold,5db03f13-e30c-4e62-9496-dd6924421484
Platinum,c10f4631-6859-4a26-a3c9-72ef7d8cc540
Explorer,21da5c1a-3590-4769-91ac-89217204a2a1
Silver,891742d0-81d4-4d28-9cae-37539c205080
Gold,d7d10f66-9a26-4394-bb05-bdb5e6c9bae3
Gold,8eb98962-91d5-4806-8433-1bf5c303dc8a
Silver,2e372b5a-88ca-4c64-bcaf-570f77c2de1b
Silver,d5063751-c5de-437f-a02b-7c7fecbc82c0
Gold,1d8a0406-e615-4e9e-abae-cb38f2242c90
Explorer,e3e347f3-1eaa-4e2b-9534-e36cdf1fb656
Silver,0b6c168d-7142-46c6-a47e-bda9c7567d83
Gold,501c982d-c459-4d22-83aa-1f6e44f6834c
Silver,f21935a6-9de9-4924-9e53-eba4bc0ed7db
Platinum,9e465609-2b7e-4142-a2a8-be2f0b6ed6bd
Gold,122e5fcf-234f-426f-b418-1ed5f662e6aa
Platinum,e4335e9a-5e38-4772-a50b-41decf7e7cff
Explorer,faff7d0e-32da-446b-ad94-20a09ac47033
Explorer,27ce0b56-d53c-4189-b7d4-9b39d104e04f
Silver,17234297-bf09-4f0b-9d2f-189063287305
Silver,0234d1e9-e862-4974-b06e-132bd5a18c8d
Gold,396a85eb-ed92-40f1-95f1-c634ef3d4343
Platinum,b854ffc7-2304-4d3e-83f3-1cffc0d6d4aa
Explorer,fa108141-7c2b-4ada-a231-d9ecd7bc2ee7
Platinum,bdf18e64-9cad-4438-a241-b5d704495f88
Explorer,ab170b6a-7676-43ff-a64e-39dfa4195c80
Explorer,a09c7f7e-bebe-4e37-b43f-888f99c0a9b2
Gold,1e9f3d8e-a145-40f2-995a-0340e7a3afd6
Silver,b96f74d8-9f01-4c6a-89e7-2bce20beaf85
Gold,cf130eec-d549-48ad-87eb-10796c7bdecb
Gold,c12a576f-ee70-49f1-a88f-15940b1c577d
Platinum,556e225b-3a52-4b63-b1da-3c456418d09b
Explorer,f001aac2-5f89-45cd-b296-291f02ae2b31
Platinum,2627bb04-13f1-4e70-b86f-970920af9d8a
Silver,088ffeda-7414-409b-aa9c-e2be415ccdd2
Platinum,63634184-573e-493e-a335-a29b637881c1
Explorer,9b47d756-a49c-42fd-9b24-00385c9ab9bb
Platinum,ec43d4b2-c343-447c-adf5-ea1e14d0ab1f
Platinum,314d1bdd-c1e6-4d92-9e3b-f46d71e6a809
Silver,6efaf4a2-080f-452b-97b7-c374ecd04a16
Platinum,69a4db66-57a4-4d87-96ba-2cd702658f6d
Platinum,5133c2e2-1f1b-4316-b62f-2808c918fbee
Gold,d7e2f75d-bea3-434f-9b4c-f88a84d7975e
Silver,ef5c7243-2ef9-42af-9bba-badeff4ea3f8
Platinum,bdc337f3-2ebb-43d4-8c7f-3e381ea9533d
Platinum,011abaef-3ad9-46e0-897b-c8a18cba2f04
Platinum,da94fd46-bcfc-4a6f-9aad-6b1cf739afc0
Gold,cff97b16-75a7-4fed-a1f7-7d539a0aa731
Silver,2f7060e5-2afc-491e-b9a2-29e5ed8e8090
Platinum,bfcaa7e5-568b-4d0f-8f57-7bf7752ef8c1
Gold,176370a0-ee62-4e7d-b4d8-c0199abd2099
Explorer,f649f679-a104-4947-802f-3f42c41eaee2
Silver,c2e09e68-6e25-4716-a394-0127bde5d122
Silver,fb654b7d-ef4c-4e9b-bd83-68721bdd074d
Gold,108102d7-871d-4220-a1c8-8b64f8d365ae
Platinum,8945477b-7d9f-42f8-ba98-aed1c1eafd28
Gold,7706e1e7-caca-4b02-9d29-0c54f8c56265
Explorer,358af07f-6589-4183-b209-d10d5f7c408f
Silver,308a09cf-85bb-41fb-94b5-31cccb2bee81
Gold,90f83a64-c3fb-4240-b67a-5416e88c9422
Silver,3d15d63b-ee2d-4768-b90e-8954446db2d3
Silver,2595b1dd-62ba-473d-8fc8-2c4344af553c
Explorer,d6a2b4b4-1448-470d-b6da-272e238c3d00
Silver,0b321198-146e-4e52-bdc0-0df27962a57a
Silver,25bd70b8-c359-421d-95ca-8a2abb2c6354
Gold,96256655-85a0-4808-9487-b1d3cc26a446
Explorer,426e967e-b56a-4ec5-a251-193fdcbb25d4
Silver,01db3a41-2e88-426a-8f4b-3ad8a3414f74
Silver,e68e4500-fd83-4497-95f0-67f12d0728c9
Explorer,405a1d8a-4ea8-4fcd-9675-7339be3b4f52
Explorer,6358f48a-3798-483a-b156-99fc0a02a161
Platinum,ce709740-9fa8-4a22-b890-313f4dd2ae47
Gold,fa603ca3-6d94-487c-ad8d-19e7b895984e
Silver,54cde29e-f57b-4348-9e70-e1c6de54b6fd
Platinum,8524f805-edd7-405a-bff1-594569399ba9
Silver,c5f2f686-6d29-4bc2-80c8-a3098918c910
Gold,6bea2132-5a89-497f-ab95-2264294ead92
Explorer,dd14e3df-f13f-45e1-9f5a-c430aca8ec14
Gold,c0e3c950-0bf1-43bb-9758-db75852c244b
Gold,693da3e6-924b-44bd-b7e0-5e931fe10a2f
Platinum,68ea001e-7ba5-417a-9dae-cb93dffd0e09
Gold,db14f751-8c73-4b91-9a5d-ae0fe4fe7936
Platinum,eb97d0ea-37c7-4b2a-8e00-217432119999
Platinum,2fc391b2-14af-4a8d-9afc-55e86b4395cd
Silver,6b1436a2-8e08-4120-8857-04812d40aad2
Platinum,9a505f6e-b4a6-4282-b19e-eda7ec97adb8
Explorer,55e44e1f-5eec-4085-a3ae-91c1e0ba6061
Platinum,8818f371-bb95-43f7-8bae-e68a2908d45a
Gold,e903e363-6465-4dd3-8d54-e0c0bc65f405
Gold,7b238cc3-ff8f-4ec5-8369-f62fc468f0c6
Platinum,4f58b35e-2709-44bf-b58e-0a2758b8863a
Explorer,cb63ea71-b04f-448f-bb9f-fb50fd80746e
Platinum,aaa2c415-8130-4380-8ba3-ed4b3f1b714d
Explorer,caf9063b-20ef-4770-b159-03ce59222a15
Explorer,0e183c95-14c1-42c1-a901-333fb5c01ab6
Gold,3c2e4d40-c877-48f2-acbc-a38b3f94442e
Platinum,c9e85bf3-cc25-4096-9b08-7c9b551c64d9
Explorer,a2e2fc84-5812-4c8d-8edb-02c46c330fe0
Platinum,7cb72231-8e07-4fb9-9cb0-50060bc4919d
Silver,104e19c9-3f8b-45e7-bf4f-729a9314b254
Explorer,809b3c63-2bd7-4ada-894d-ac650ed8e383
Gold,296ab178-fab3-4645-9452-dde2b8959e98
Gold,5ea9ae96-7c25-4ae9-9a43-008706ec32b2
Gold,dbf6ca69-fb9a-4c0d-a238-9914c23f4c7e
Silver,6e861889-c857-45e0-a7f5-487cc668442f
Gold,0522bef7-3351-47cb-9c3f-c1f83d525a94
